id,source,source_subset,src_lang,tgt_lang,src_text,tgt_text,domain,license,quality_status,verification_status,source_id
TT-V2-COMB-00001,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,नमस्ते,ᱡᱚᱦᱟᱨ,greetings,APACHE-2.0,VALID,PIPELINE_VERIFIED,legacy_seed_row_1
TT-V2-COMB-00002,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,आप कैसे हैं?,ᱪᱮᱠᱟ ᱢᱮᱱᱟᱢᱟ?,greetings,APACHE-2.0,VALID,PIPELINE_VERIFIED,legacy_seed_row_2
TT-V2-COMB-00003,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,मैं ठीक हूँ,ᱤᱧ ᱫᱚ ᱵᱮᱥ ᱜᱮ ᱢᱮᱱᱟᱹᱧᱟ,general_conversation,APACHE-2.0,VALID,PIPELINE_VERIFIED,legacy_seed_row_3
TT-V2-COMB-00004,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,आप का क्या नाम है?,ᱟᱢᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱪᱮᱫ?,general_conversation,APACHE-2.0,VALID,PIPELINE_VERIFIED,legacy_seed_row_4
TT-V2-COMB-00005,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,मेरा नाम बिरसा है,ᱤᱧᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱵᱤᱨᱥᱟ ᱠᱟᱱᱟ,nature,APACHE-2.0,VALID,PIPELINE_VERIFIED,legacy_seed_row_5
TT-V2-COMB-00008,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,अलविदा,ᱡᱚᱦᱟᱨ ᱜᱮ,greetings,APACHE-2.0,VALID,PIPELINE_VERIFIED,legacy_seed_row_8
TT-V2-COMB-00010,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,किताब खोलो,ᱯᱩᱛᱷᱤ ᱡᱷᱤᱡᱽ ᱢᱮ,classroom_commands,APACHE-2.0,VALID,PIPELINE_VERIFIED,legacy_seed_row_10
TT-V2-COMB-00011,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,किताब बंद करो,ᱯᱩᱛᱷᱤ ᱵᱚᱸᱫᱽ ᱢᱮ,classroom_commands,APACHE-2.0,VALID,PIPELINE_VERIFIED,legacy_seed_row_11
TT-V2-COMB-00012,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,लिखना शुरू करो,ᱚᱞ ᱮᱦᱚᱵ ᱢᱮ,writing,APACHE-2.0,VALID,PIPELINE_VERIFIED,legacy_seed_row_12
TT-V2-COMB-00013,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,शांत रहो,ᱛᱷᱤᱨ ᱛᱟᱦᱮᱸᱱ ᱯᱮ,classroom_commands,APACHE-2.0,VALID,PIPELINE_VERIFIED,legacy_seed_row_13
TT-V2-COMB-00014,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,बैठ जाओ,ᱫᱩᱲᱩᱵ ᱯᱮ,classroom_commands,APACHE-2.0,VALID,PIPELINE_VERIFIED,legacy_seed_row_14
TT-V2-COMB-00015,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,खड़े हो जाओ,ᱛᱤᱸᱜᱩᱱ ᱯᱮ,classroom_commands,APACHE-2.0,VALID,PIPELINE_VERIFIED,legacy_seed_row_15
TT-V2-COMB-00016,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,यहाँ आओ,ᱱᱚᱰᱮ ᱦᱤᱡᱩᱜ ᱢᱮ,classroom_commands,APACHE-2.0,VALID,PIPELINE_VERIFIED,legacy_seed_row_16
TT-V2-COMB-00017,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,वहाँ जाओ,ᱦᱟᱸᱰᱮ ᱪᱟᱞᱟᱜ ᱢᱮ,classroom_commands,APACHE-2.0,VALID,PIPELINE_VERIFIED,legacy_seed_row_17
TT-V2-COMB-00018,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,ब्लैकबोर्ड देखो,ᱵᱚᱨᱰ ᱧᱮᱞ ᱢᱮ,classroom_commands,APACHE-2.0,VALID,PIPELINE_VERIFIED,legacy_seed_row_18
TT-V2-COMB-00019,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,ध्यान से सुनो,ᱫᱷᱮᱭᱟᱱ ᱛᱮ ᱟᱧᱡᱚᱢ ᱢᱮ,classroom_commands,APACHE-2.0,VALID,PIPELINE_VERIFIED,legacy_seed_row_19
TT-V2-COMB-00020,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,बहुत अच्छा काम,ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ ᱠᱟᱹᱢᱤ,greetings,APACHE-2.0,VALID,PIPELINE_VERIFIED,legacy_seed_row_20
TT-V2-COMB-00021,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,शाबाश बच्चों,ᱥᱟᱵᱟᱥ ᱜᱤᱫᱽᱨᱟᱹ,general_conversation,APACHE-2.0,VALID,PIPELINE_VERIFIED,legacy_seed_row_21
TT-V2-COMB-00022,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,मुझे समझ नहीं आया,ᱵᱟᱹᱧ ᱵᱩᱡᱷᱟᱹᱣ ᱫᱟᱲᱮᱭᱟᱫᱟ,teacher_student_dialogue,APACHE-2.0,VALID,PIPELINE_VERIFIED,legacy_seed_row_22
TT-V2-COMB-00024,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,पानी पीना है,ᱫᱟᱜ ᱧᱩ ᱥᱟᱱᱟᱹᱧ ᱠᱟᱱᱟ,environment,APACHE-2.0,VALID,PIPELINE_VERIFIED,legacy_seed_row_24
TT-V2-COMB-00025,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,मुझे भूख लगी है,ᱤᱧ ᱨᱮᱸᱜᱮᱡ ᱠᱟᱱᱟ,health,APACHE-2.0,VALID,PIPELINE_VERIFIED,legacy_seed_row_25
TT-V2-COMB-00026,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,मुझे घर जाना है,ᱤᱧ ᱚᱲᱟᱜ ᱪᱟᱞᱟᱜ ᱥᱟᱱᱟᱹᱧ ᱠᱟᱱᱟ,daily_life,APACHE-2.0,VALID,PIPELINE_VERIFIED,legacy_seed_row_26
TT-V2-COMB-00027,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,फिर से समझाइए,ᱟᱨᱦᱚᱸ ᱢᱤᱫ ᱫᱷᱟᱣ ᱞᱟᱹᱭ ᱢᱮ,teacher_student_dialogue,APACHE-2.0,VALID,PIPELINE_VERIFIED,legacy_seed_row_27
TT-V2-COMB-00028,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,मेरा काम पूरा हो गया,ᱤᱧᱟᱜ ᱠᱟᱹᱢᱤ ᱯᱩᱨᱟᱹᱣ ᱮᱱᱟ,daily_life,APACHE-2.0,VALID,PIPELINE_VERIFIED,legacy_seed_row_28
TT-V2-COMB-00029,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,एक दो तीन चार,ᱢᱤᱫ ᱵᱟᱨ ᱯᱮ ᱯᱩᱱ,counting,APACHE-2.0,VALID,PIPELINE_VERIFIED,legacy_seed_row_29
TT-V2-COMB-00030,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,पांच छह सात आठ नौ दस,ᱢᱚᱬᱮ ᱛᱩᱨᱩᱭ ᱮᱭᱟᱭ ᱤᱨᱟᱹᱞ ᱟᱨᱮ ᱜᱮᱞ,numeracy,APACHE-2.0,VALID,PIPELINE_VERIFIED,legacy_seed_row_30
TT-V2-COMB-00031,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,गिनती करो,ᱞᱮᱠᱷᱟᱭ ᱢᱮ,numeracy,APACHE-2.0,VALID,PIPELINE_VERIFIED,legacy_seed_row_31
TT-V2-COMB-00032,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,जोड़ो,ᱢᱮᱥᱟᱭ ᱢᱮ,addition,APACHE-2.0,VALID,PIPELINE_VERIFIED,legacy_seed_row_32
TT-V2-COMB-00033,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,घटाओ,ᱚᱪᱚᱜ ᱢᱮ,subtraction,APACHE-2.0,VALID,PIPELINE_VERIFIED,legacy_seed_row_33
