id,source,source_subset,src_lang,tgt_lang,src_text,tgt_text,source_id,license,quality_status,verification_status,notes
TT-V2-SEED-0001,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,नमस्ते,ᱡᱚᱦᱟᱨ,legacy_seed_row_1,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0002,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,आप कैसे हैं?,ᱪᱮᱠᱟ ᱢᱮᱱᱟᱢᱟ?,legacy_seed_row_2,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0003,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,मैं ठीक हूँ,ᱤᱧ ᱫᱚ ᱵᱮᱥ ᱜᱮ ᱢᱮᱱᱟᱹᱧᱟ,legacy_seed_row_3,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0004,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,आप का क्या नाम है?,ᱟᱢᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱪᱮᱫ?,legacy_seed_row_4,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0005,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,मेरा नाम बिरसा है,ᱤᱧᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱵᱤᱨᱥᱟ ᱠᱟᱱᱟ,legacy_seed_row_5,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0006,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,धन्यवाद,ᱥᱟᱨᱦᱟᱣ,legacy_seed_row_6,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0007,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,बहुत बहुत धन्यवाद,ᱟᱹᱰᱤ ᱟᱹᱰᱤ ᱥᱟᱨᱦᱟᱣ,legacy_seed_row_7,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0008,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,अलविदा,ᱡᱚᱦᱟᱨ ᱜᱮ,legacy_seed_row_8,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0009,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,चलो पढ़ते हैं,ᱫᱮᱞᱟ ᱵᱚᱱ ᱯᱟᱲᱦᱟᱣ-ᱟ,legacy_seed_row_9,APACHE-2.0,NEEDS_REVIEW,HUMAN_EXPERT_VERIFIED,Contains ASCII hyphen instead of Ol Chiki Phaarkaa (U+1C7C); pending review
TT-V2-SEED-0010,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,किताब खोलो,ᱯᱩᱛᱷᱤ ᱡᱷᱤᱡᱽ ᱢᱮ,legacy_seed_row_10,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
