id,source,src_text,tgt_text,reason,source_id
TT-V2-COMB-00006,TRIBETALK_SEED,धन्यवाद,ᱥᱟᱨᱦᱟᱣ,BENCHMARK_CONTAMINATION_FUZZY_BENCHMARK_WORD_SIMILARITY_OVER_85,legacy_seed_row_6
TT-V2-COMB-00007,TRIBETALK_SEED,बहुत बहुत धन्यवाद,ᱟᱹᱰᱤ ᱟᱹᱰᱤ ᱥᱟᱨᱦᱟᱣ,BENCHMARK_CONTAMINATION_FUZZY_BENCHMARK_WORD_SIMILARITY_OVER_85,legacy_seed_row_7
TT-V2-COMB-00113,TATOEBA,हाँ।,ᱦᱚᱭ ᱾,BENCHMARK_CONTAMINATION_FUZZY_BENCHMARK_WORD_SIMILARITY_OVER_85,hin:477093|sat:11141924
TT-V2-COMB-00176,TATOEBA,बोलो।,ᱞᱟᱹᱭ ᱢᱮ ᱾,BENCHMARK_CONTAMINATION_EXACT_BENCHMARK_HASH_MATCH,hin:6543494|sat:12643299
TT-V2-COMB-00182,TATOEBA,आपका क्या नाम है ?,ᱟᱢᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱪᱮᱫ ᱠᱟᱱᱟ ?,BENCHMARK_CONTAMINATION_FUZZY_BENCHMARK_WORD_SIMILARITY_OVER_85,hin:12643306|sat:10297686
TT-V2-COMB-00196,TATOEBA,आओ!,ᱵᱟᱞᱚ ᱩᱛᱟᱹᱨ!,EXTREME_CHARACTER_RATIO_3.67,hin:4078409|sat:11193324|via_eng:1037170
TT-V2-COMB-00217,TATOEBA,विदाई!,ᱵᱤᱫᱟᱹᱭ !,BENCHMARK_CONTAMINATION_EXACT_BENCHMARK_HASH_MATCH,hin:6179163|sat:12578920|via_eng:1130100
TT-V2-COMB-00231,TATOEBA,हाँ!,ᱦᱚᱭ !,BENCHMARK_CONTAMINATION_FUZZY_BENCHMARK_WORD_SIMILARITY_OVER_85,hin:3621551|sat:11193330|via_eng:1148358
TT-V2-COMB-00281,TATOEBA,सच में?,ᱥᱟᱹᱨᱤᱛᱮ ?,BENCHMARK_CONTAMINATION_EXACT_BENCHMARK_HASH_MATCH,hin:4078392|sat:11193338|via_eng:1327057
TT-V2-COMB-00309,TATOEBA,आपका स्वागत है।,ᱥᱟᱹᱜᱩᱱ ᱫᱟᱨᱟᱢ ᱾,BENCHMARK_CONTAMINATION_EXACT_BENCHMARK_HASH_MATCH,hin:488703|sat:11141930|via_eng:138919
