file,reference,prediction,normalized_reference,normalized_prediction,substitutions,deletions,insertions,wer,audio_duration_sec,latency_ms,rtf
common_voice_hi_23827473.mp3,यह कुर्सी आपकी है।,यह कुर्सी आपकी है,यह कुर्सी आपकी है,यह कुर्सी आपकी है,0,0,0,0.0,3.0,161.89,0.054
common_voice_hi_23827786.mp3,हमे स्केटिंग करके मज़ा आया।,हमें स्केटिंग करके मजा आया,हमे स्केटिंग करके मज़ा आया,हमें स्केटिंग करके मजा आया,2,0,0,0.4,3.38,101.61,0.03
common_voice_hi_23828712.mp3,क्या तुम कह रहे हो कि मेरी जान ख़तरे में है?,क्या तुम कह रहे हो कि मेरी जान खतरे में है,क्या तुम कह रहे हो कि मेरी जान ख़तरे में है,क्या तुम कह रहे हो कि मेरी जान खतरे में है,1,0,0,0.0909,5.14,145.99,0.028
common_voice_hi_23830502.mp3,उस दुर्घटना ने पूरे स्कूल को सदमा पहुँचाया।,उस दुर्घटना ने पूरे स्कूल को सदमा पहुचाया,उस दुर्घटना ने पूरे स्कूल को सदमा पहुँचाया,उस दुर्घटना ने पूरे स्कूल को सदमा पहुचाया,1,0,0,0.125,4.42,125.64,0.028
common_voice_hi_23832740.mp3,"ठाकरे निधन: टैक्सी, ऑटो सेवा रहेगी बंद",ठाकरे निधन टैक्सी ऑटो सेवा रहेगी बंद,ठाकरे निधन टैक्सी ऑटो सेवा रहेगी बंद,ठाकरे निधन टैक्सी ऑटो सेवा रहेगी बंद,0,0,0,0.0,5.02,166.75,0.033
common_voice_hi_23833601.mp3,आज के युवाओं को नहीं मालूम पहले विश्वयुद्ध की तारीखें,आज के युवाओं को नहीं मालूम पहले विश्व युद्ध की तारीखें,आज के युवाओं को नहीं मालूम पहले विश्वयुद्ध की तारीखें,आज के युवाओं को नहीं मालूम पहले विश्व युद्ध की तारीखें,1,0,1,0.2,5.14,194.61,0.038
common_voice_hi_23847594.mp3,मैं तुम्हारे जितना लम्बा हूँ।,मैं तुम्हारी इतना लंबा हूँ,मैं तुम्हारे जितना लम्बा हूँ,मैं तुम्हारी इतना लंबा हूँ,3,0,0,0.6,3.7,140.12,0.038
common_voice_hi_23849295.mp3,तीन तलाक बिल के बाद महिला आरक्षण विधेयक पास होने के आसार,तीन तलाक बिल के बाद महिला आरक्षण विधेयक पास होने के आसार,तीन तलाक बिल के बाद महिला आरक्षण विधेयक पास होने के आसार,तीन तलाक बिल के बाद महिला आरक्षण विधेयक पास होने के आसार,0,0,0,0.0,5.38,172.5,0.032
common_voice_hi_23849303.mp3,नाओको तैरती है।,नावों को तैरती है,नाओको तैरती है,नावों को तैरती है,1,0,1,0.6667,2.86,96.07,0.034
common_voice_hi_23849378.mp3,गृह राज्य मंत्री बोले- जामिया हिंसा के पीछे विदेशी ताकतों का साथ,गिरीराज मंत्री बोले जामिया हिंसक के पीछे विदेशी ताकतों का साथ,गृह राज्य मंत्री बोले जामिया हिंसा के पीछे विदेशी ताकतों का साथ,गिरीराज मंत्री बोले जामिया हिंसक के पीछे विदेशी ताकतों का साथ,2,1,0,0.25,5.69,228.54,0.04
