src_lang,tgt_lang,src_text,tgt_text
hin_Deva,sat_Olck,नमस्ते,ᱡᱚᱦᱟᱨ
sat_Olck,hin_Deva,ᱡᱚᱦᱟᱨ,नमस्ते
hin_Deva,sat_Olck,आप कैसे हैं?,ᱪᱮᱠᱟ ᱢᱮᱱᱟᱢᱟ?
sat_Olck,hin_Deva,ᱪᱮᱠᱟ ᱢᱮᱱᱟᱢᱟ?,आप कैसे हैं?
hin_Deva,sat_Olck,मैं ठीक हूँ,ᱤᱧ ᱫᱚ ᱵᱮᱥ ᱜᱮ ᱢᱮᱱᱟᱹᱧᱟ
sat_Olck,hin_Deva,ᱤᱧ ᱫᱚ ᱵᱮᱥ ᱜᱮ ᱢᱮᱱᱟᱹᱧᱟ,मैं ठीक हूँ
hin_Deva,sat_Olck,आप का क्या नाम है?,ᱟᱢᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱪᱮᱫ?
sat_Olck,hin_Deva,ᱟᱢᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱪᱮᱫ?,आप का क्या नाम है?
hin_Deva,sat_Olck,मेरा नाम बिरसा है,ᱤᱧᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱵᱤᱨᱥᱟ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱤᱧᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱵᱤᱨᱥᱟ ᱠᱟᱱᱟ,मेरा नाम बिरसा है
hin_Deva,sat_Olck,धन्यवाद,ᱥᱟᱨᱦᱟᱣ
sat_Olck,hin_Deva,ᱥᱟᱨᱦᱟᱣ,धन्यवाद
hin_Deva,sat_Olck,बहुत बहुत धन्यवाद,ᱟᱹᱰᱤ ᱟᱹᱰᱤ ᱥᱟᱨᱦᱟᱣ
sat_Olck,hin_Deva,ᱟᱹᱰᱤ ᱟᱹᱰᱤ ᱥᱟᱨᱦᱟᱣ,बहुत बहुत धन्यवाद
hin_Deva,sat_Olck,अलविदा,ᱡᱚᱦᱟᱨ ᱜᱮ
sat_Olck,hin_Deva,ᱡᱚᱦᱟᱨ ᱜᱮ,अलविदा
hin_Deva,sat_Olck,चलो पढ़ते हैं,ᱫᱮᱞᱟ ᱵᱚᱱ ᱯᱟᱲᱦᱟᱣ-ᱟ
sat_Olck,hin_Deva,ᱫᱮᱞᱟ ᱵᱚᱱ ᱯᱟᱲᱦᱟᱣ-ᱟ,चलो पढ़ते हैं
hin_Deva,sat_Olck,किताब खोलो,ᱯᱩᱛᱷᱤ ᱡᱷᱤᱡᱽ ᱢᱮ
sat_Olck,hin_Deva,ᱯᱩᱛᱷᱤ ᱡᱷᱤᱡᱽ ᱢᱮ,किताब खोलो
hin_Deva,sat_Olck,किताब बंद करो,ᱯᱩᱛᱷᱤ ᱵᱚᱸᱫᱽ ᱢᱮ
sat_Olck,hin_Deva,ᱯᱩᱛᱷᱤ ᱵᱚᱸᱫᱽ ᱢᱮ,किताब बंद करो
hin_Deva,sat_Olck,लिखना शुरू करो,ᱚᱞ ᱮᱦᱚᱵ ᱢᱮ
sat_Olck,hin_Deva,ᱚᱞ ᱮᱦᱚᱵ ᱢᱮ,लिखना शुरू करो
hin_Deva,sat_Olck,शांत रहो,ᱛᱷᱤᱨ ᱛᱟᱦᱮᱸᱱ ᱯᱮ
sat_Olck,hin_Deva,ᱛᱷᱤᱨ ᱛᱟᱦᱮᱸᱱ ᱯᱮ,शांत रहो
hin_Deva,sat_Olck,बैठ जाओ,ᱫᱩᱲᱩᱵ ᱯᱮ
sat_Olck,hin_Deva,ᱫᱩᱲᱩᱵ ᱯᱮ,बैठ जाओ
hin_Deva,sat_Olck,खड़े हो जाओ,ᱛᱤᱸᱜᱩᱱ ᱯᱮ
sat_Olck,hin_Deva,ᱛᱤᱸᱜᱩᱱ ᱯᱮ,खड़े हो जाओ
hin_Deva,sat_Olck,यहाँ आओ,ᱱᱚᱰᱮ ᱦᱤᱡᱩᱜ ᱢᱮ
sat_Olck,hin_Deva,ᱱᱚᱰᱮ ᱦᱤᱡᱩᱜ ᱢᱮ,यहाँ आओ
hin_Deva,sat_Olck,वहाँ जाओ,ᱦᱟᱸᱰᱮ ᱪᱟᱞᱟᱜ ᱢᱮ
sat_Olck,hin_Deva,ᱦᱟᱸᱰᱮ ᱪᱟᱞᱟᱜ ᱢᱮ,वहाँ जाओ
