file,reference,prediction,normalized_reference,normalized_prediction,substitutions,deletions,insertions,wer,audio_duration_sec,latency_ms,rtf
common_voice_hi_23827473.mp3,यह कुर्सी आपकी है।,यह कुर्सी आपकी है,यह कुर्सी आपकी है,यह कुर्सी आपकी है,0,0,0,0.0,3.0,488.72,0.163
common_voice_hi_23827786.mp3,हमे स्केटिंग करके मज़ा आया।,हमें स्केटिंग करके मजा आया,हमे स्केटिंग करके मज़ा आया,हमें स्केटिंग करके मजा आया,2,0,0,0.4,3.38,560.73,0.166
common_voice_hi_23828712.mp3,क्या तुम कह रहे हो कि मेरी जान ख़तरे में है?,क्या तुम कह रहे हो कि मेरी जान खतरे में है,क्या तुम कह रहे हो कि मेरी जान ख़तरे में है,क्या तुम कह रहे हो कि मेरी जान खतरे में है,1,0,0,0.0909,5.14,853.24,0.166
common_voice_hi_23830502.mp3,उस दुर्घटना ने पूरे स्कूल को सदमा पहुँचाया।,उस दुर्घटना ने पूरे स्कूल को सदमा पहुंचाया,उस दुर्घटना ने पूरे स्कूल को सदमा पहुँचाया,उस दुर्घटना ने पूरे स्कूल को सदमा पहुंचाया,1,0,0,0.125,4.42,681.14,0.154
common_voice_hi_23832740.mp3,"ठाकरे निधन: टैक्सी, ऑटो सेवा रहेगी बंद",ठाकरे निधन टैक्सी ऑटो सेवा रहेगी बंद,ठाकरे निधन टैक्सी ऑटो सेवा रहेगी बंद,ठाकरे निधन टैक्सी ऑटो सेवा रहेगी बंद,0,0,0,0.0,5.02,877.5,0.175
common_voice_hi_23833601.mp3,आज के युवाओं को नहीं मालूम पहले विश्वयुद्ध की तारीखें,आज के युवाओं को नहीं मालूम पहले विश्व युद्ध की तारीखें,आज के युवाओं को नहीं मालूम पहले विश्वयुद्ध की तारीखें,आज के युवाओं को नहीं मालूम पहले विश्व युद्ध की तारीखें,1,0,1,0.2,5.14,791.25,0.154
common_voice_hi_23847594.mp3,मैं तुम्हारे जितना लम्बा हूँ।,मै तुम्हारी इतना लंबा हूँ,मैं तुम्हारे जितना लम्बा हूँ,मै तुम्हारी इतना लंबा हूँ,4,0,0,0.8,3.7,577.3,0.156
common_voice_hi_23849295.mp3,तीन तलाक बिल के बाद महिला आरक्षण विधेयक पास होने के आसार,तीन तलाक बिल के बाद महिला आरक्षण विधेयक पास होने के आसार,तीन तलाक बिल के बाद महिला आरक्षण विधेयक पास होने के आसार,तीन तलाक बिल के बाद महिला आरक्षण विधेयक पास होने के आसार,0,0,0,0.0,5.38,807.75,0.15
common_voice_hi_23849303.mp3,नाओको तैरती है।,नावों को तैरती है,नाओको तैरती है,नावों को तैरती है,1,0,1,0.6667,2.86,421.48,0.148
common_voice_hi_23849378.mp3,गृह राज्य मंत्री बोले- जामिया हिंसा के पीछे विदेशी ताकतों का साथ,गिरराज मंत्री बोले जामिया हिंसा के पीछे विदेशी ताकतों का साथ,गृह राज्य मंत्री बोले जामिया हिंसा के पीछे विदेशी ताकतों का साथ,गिरराज मंत्री बोले जामिया हिंसा के पीछे विदेशी ताकतों का साथ,1,1,0,0.1667,5.69,885.83,0.156
common_voice_hi_23852754.mp3,मैं इतनी महंगी किताब नहीं ख़रीद सकता।,मैं इतनी महंगी किताब नहीं खरीद सकता,मैं इतनी महंगी किताब नहीं ख़रीद सकता,मैं इतनी महंगी किताब नहीं खरीद सकता,1,0,0,0.1429,3.65,567.51,0.156
common_voice_hi_23852768.mp3,वह बिल को तैरने ले गया।,वह बिल को तैरने ले गया,वह बिल को तैरने ले गया,वह बिल को तैरने ले गया,0,0,0,0.0,3.14,481.43,0.153
common_voice_hi_23901985.mp3,मुझे बस उसका नाम बता।,मुझे बस उसका नाम बता,मुझे बस उसका नाम बता,मुझे बस उसका नाम बता,0,0,0,0.0,4.22,646.45,0.153
common_voice_hi_24562178.mp3,कहाँ चले गए हो?,कहाँ चले गए हो,कहाँ चले गए हो,कहाँ चले गए हो,0,0,0,0.0,3.06,482.09,0.158
common_voice_hi_24639156.mp3,डिस्क टॉम को दे दीजिए।,डिस्क टॉम को दे दीजिए,डिस्क टॉम को दे दीजिए,डिस्क टॉम को दे दीजिए,0,0,0,0.0,3.64,540.94,0.149
common_voice_hi_24663123.mp3,वह स्पेनी है।,वह स्पेनी है,वह स्पेनी है,वह स्पेनी है,0,0,0,0.0,2.66,413.08,0.155
common_voice_hi_24663151.mp3,पूर्व ऑस्ट्रेलियाई गेंदबाज ब्रेट ली ने गर्लफ्रेंड लाना से की शादी,पूर्व ऑस्ट्रेलियाई गेंदबाज ब्रेट ली ने गर्लफ्रेंड लाना से की शादी,पूर्व ऑस्ट्रेलियाई गेंदबाज ब्रेट ली ने गर्लफ्रेंड लाना से की शादी,पूर्व ऑस्ट्रेलियाई गेंदबाज ब्रेट ली ने गर्लफ्रेंड लाना से की शादी,0,0,0,0.0,7.45,1099.74,0.148
common_voice_hi_24663186.mp3,क्या करूँ? मैंने अपने-आप से पूछा।,क्या करूं मैने अपने आप से पूछा,क्या करूँ मैंने अपनेआप से पूछा,क्या करूं मैने अपने आप से पूछा,3,0,1,0.6667,3.1,470.65,0.152
common_voice_hi_24678275.mp3,कमरे में एक भी खिड़की नहीं थी।,कमरे में एक भी खिड़की नहीं थी,कमरे में एक भी खिड़की नहीं थी,कमरे में एक भी खिड़की नहीं थी,0,0,0,0.0,4.36,682.9,0.157
common_voice_hi_24829333.mp3,आप कैसे हैं?,आप कैसे हैं,आप कैसे हैं,आप कैसे हैं,0,0,0,0.0,2.92,426.6,0.146
common_voice_hi_24829390.mp3,उम्मीदों का शहर है स्टीलनगरी जमशेदपुर,उम्मीदों का शहर है स्टील नगरी जमशेदपुर,उम्मीदों का शहर है स्टीलनगरी जमशेदपुर,उम्मीदों का शहर है स्टील नगरी जमशेदपुर,1,0,1,0.3333,4.43,670.79,0.151
common_voice_hi_24924090.mp3,छत्तीसगढ़ में मेहनतकश मजदूर का बेटा बना डिप्टी कलेक्टर,छत्तीसगढ़ में मेहनतकस मजदूर का बेटा बना डिप्टी कलेक्टर,छत्तीसगढ़ में मेहनतकश मजदूर का बेटा बना डिप्टी कलेक्टर,छत्तीसगढ़ में मेहनतकस मजदूर का बेटा बना डिप्टी कलेक्टर,1,0,0,0.1111,7.31,1081.16,0.148
