id,source,source_subset,src_lang,tgt_lang,src_text,tgt_text,domain,license,quality_status,verification_status,review_notes,source_id
TT-V2-COMB-00009,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,चलो पढ़ते हैं,ᱫᱮᱞᱟ ᱵᱚᱱ ᱯᱟᱲᱦᱟᱣ-ᱟ,classroom_commands,APACHE-2.0,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Contains ASCII hyphen in Santali; potential Ol Chiki Phaarkaa candidate,legacy_seed_row_9
TT-V2-COMB-00023,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,क्या आप मदद कर सकते हैं?,ᱪᱮᱫ ᱟᱢ ᱜᱚᱲᱚ ᱫᱟᱲᱮᱭᱟᱜ-ᱟ?,teacher_student_dialogue,APACHE-2.0,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Contains ASCII hyphen in Santali; potential Ol Chiki Phaarkaa candidate,legacy_seed_row_23
TT-V2-COMB-00034,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,कितने सेब हैं?,ᱛᱤᱱᱟᱹᱜ ᱥᱮᱣ ᱢᱮᱱᱟᱜ-ᱟ?,numeracy,APACHE-2.0,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Contains ASCII hyphen in Santali; potential Ol Chiki Phaarkaa candidate,legacy_seed_row_34
TT-V2-COMB-00035,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,पाँच और तीन आठ होते हैं,ᱢᱚᱬᱮ ᱟᱨ ᱯᱮ ᱤᱨᱟᱹᱞ ᱦᱩᱭᱩᱜ-ᱟ,counting,APACHE-2.0,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Contains ASCII hyphen in Santali; potential Ol Chiki Phaarkaa candidate,legacy_seed_row_35
TT-V2-COMB-00036,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,दो में दो जोड़ने पर चार होता है,ᱵᱟᱨ ᱨᱮ ᱵᱟᱨ ᱢᱮᱥᱟ ᱞᱮᱠᱷᱟᱱ ᱯᱩᱱ ᱦᱩᱭᱩᱜ-ᱟ,counting,APACHE-2.0,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Contains ASCII hyphen in Santali; potential Ol Chiki Phaarkaa candidate,legacy_seed_row_36
TT-V2-COMB-00037,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,कल बारिश होगी,ᱜᱟᱯᱟ ᱫᱟᱜ ᱡᱟᱹᱲᱤ ᱦᱩᱭᱩᱜ-ᱟ,environment,APACHE-2.0,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Contains ASCII hyphen in Santali; potential Ol Chiki Phaarkaa candidate,legacy_seed_row_37
TT-V2-COMB-00040,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,आज मौसम बहुत सुहावना है,ᱛᱮᱦᱮᱧ ᱦᱚᱭ-ᱦᱤᱥᱤᱫ ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ,greetings,APACHE-2.0,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Contains ASCII hyphen in Santali; potential Ol Chiki Phaarkaa candidate,legacy_seed_row_40
TT-V2-COMB-00041,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,सूरज पूरब में उगता है,ᱪᱟᱸᱫᱚ ᱥᱟᱢᱟᱝ ᱨᱮ ᱨᱟᱠᱟᱵ-ᱟ,nature,APACHE-2.0,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Contains ASCII hyphen in Santali; potential Ol Chiki Phaarkaa candidate,legacy_seed_row_41
TT-V2-COMB-00052,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,हम सब साथ खेलते हैं,ᱟᱵᱚ ᱡᱚᱛᱚ ᱢᱤᱫ ᱛᱮᱵᱚᱱ ᱮᱱᱮᱡ-ᱟ,counting,APACHE-2.0,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Contains ASCII hyphen in Santali; potential Ol Chiki Phaarkaa candidate,legacy_seed_row_52
TT-V2-COMB-00060,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,झूठ मत बोलो,ᱮᱲᱮ ᱟᱞᱚᱢ ᱨᱚᱲ-ᱟ,classroom_commands,APACHE-2.0,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Contains ASCII hyphen in Santali; potential Ol Chiki Phaarkaa candidate,legacy_seed_row_60
