id,source,source_subset,src_lang,tgt_lang,src_text,tgt_text,source_id,license,quality_status,verification_status,notes
TT-V2-TAT-00001,TATOEBA,tatoeba_direct_links,hin_Deva,sat_Olck,तुम्हारा नाम क्या है?,ᱟᱢᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱪᱮᱫ?,hin:2060318|sat:10290319,CC-BY-2.0-FR,VALID,PIPELINE_VERIFIED,Tatoeba provable link (tatoeba_direct_links)
TT-V2-TAT-00002,TATOEBA,tatoeba_direct_links,hin_Deva,sat_Olck,तेल और हल्दी लाओ तो।,ᱥᱩᱱᱩᱢ ᱟᱨ ᱥᱟᱥᱟᱝ ᱟᱹᱜᱩᱭ ᱢᱮ ᱥᱮ᱾,hin:10290332|sat:10290317,CC-BY-2.0-FR,VALID,PIPELINE_VERIFIED,Tatoeba provable link (tatoeba_direct_links)
TT-V2-TAT-00003,TATOEBA,tatoeba_direct_links,hin_Deva,sat_Olck,तुम्हारा घर बहुत ही सुंदर है।,ᱟᱢᱟᱜ ᱟᱲᱟᱜ ᱟᱹᱰᱤ ᱢᱚᱡᱽ ᱜᱮᱭᱟ᱾,hin:10290354|sat:10290346,CC-BY-2.0-FR,VALID,PIPELINE_VERIFIED,Tatoeba provable link (tatoeba_direct_links)
TT-V2-TAT-00004,TATOEBA,tatoeba_direct_links,hin_Deva,sat_Olck,यह किसी दूसरे का हैं।,ᱱᱚᱣᱟ ᱫᱚ ᱮᱴᱟᱜ ᱦᱚᱲ ᱠᱚᱣᱟᱜ ᱠᱟᱱᱟ᱾,hin:10290372|sat:10290360,CC-BY-2.0-FR,VALID,PIPELINE_VERIFIED,Tatoeba provable link (tatoeba_direct_links)
TT-V2-TAT-00005,TATOEBA,tatoeba_direct_links,hin_Deva,sat_Olck,हम लोग अगले दिन जाएंगे।,ᱜᱟᱯᱟ ᱵᱩᱱ ᱪᱟᱞᱟᱜ ᱼᱟ᱾,hin:10290379|sat:10290376,CC-BY-2.0-FR,VALID,PIPELINE_VERIFIED,Tatoeba provable link (tatoeba_direct_links)
TT-V2-TAT-00006,TATOEBA,tatoeba_direct_links,hin_Deva,sat_Olck,तुम कहां जा रहे हो?,ᱚᱠᱟ ᱛᱮᱢ ᱪᱟᱞᱟᱜ ᱠᱟᱱᱟ?,hin:10290388|sat:10290386,CC-BY-2.0-FR,VALID,PIPELINE_VERIFIED,Tatoeba provable link (tatoeba_direct_links)
TT-V2-TAT-00007,TATOEBA,tatoeba_direct_links,hin_Deva,sat_Olck,तुम कौन हो?,ᱟᱢ ᱫᱚ ᱚᱠᱚᱭ ᱠᱟᱱᱟᱢ?,hin:10290394|sat:10290392,CC-BY-2.0-FR,VALID,PIPELINE_VERIFIED,Tatoeba provable link (tatoeba_direct_links)
TT-V2-TAT-00008,TATOEBA,tatoeba_direct_links,hin_Deva,sat_Olck,"भाईसाहब, आप क्या बना रहे हो?","ᱜᱚᱢᱠᱮ, ᱟᱢ ᱫᱚ ᱪᱮᱫ ᱮᱢ ᱵᱮᱱᱟᱣ ᱫᱟ?",hin:10290398|sat:10290396,CC-BY-2.0-FR,VALID,PIPELINE_VERIFIED,Tatoeba provable link (tatoeba_direct_links)
TT-V2-TAT-00009,TATOEBA,tatoeba_direct_links,hin_Deva,sat_Olck,जाओ और नहां कर आओ।,ᱪᱟᱞᱟᱜ ᱢᱮ ᱟᱨ ᱯᱟᱭᱨᱟᱜ ᱦᱤᱡᱩ ᱢᱮ᱾,hin:10290402|sat:10290401,CC-BY-2.0-FR,VALID,PIPELINE_VERIFIED,Tatoeba provable link (tatoeba_direct_links)
TT-V2-TAT-00010,TATOEBA,tatoeba_direct_links,hin_Deva,sat_Olck,हम लोग पैदल जांऐगे।,ᱛᱟᱲᱟᱢ ᱛᱮ ᱵᱩᱱ ᱪᱟᱞᱟᱜᱼᱟ᱾,hin:10290405|sat:10290403,CC-BY-2.0-FR,VALID,PIPELINE_VERIFIED,Tatoeba provable link (tatoeba_direct_links)
TT-V2-TAT-00011,TATOEBA,tatoeba_direct_links,hin_Deva,sat_Olck,हम लोग अपने गाड़ी से जांऐगे।,ᱟᱹᱵᱩᱼᱟ ᱜᱟᱹᱰᱤ ᱛᱮ ᱵᱩᱱ ᱪᱟᱞᱟᱜᱼᱟ᱾,hin:10290409|sat:10290406,CC-BY-2.0-FR,VALID,PIPELINE_VERIFIED,Tatoeba provable link (tatoeba_direct_links)
TT-V2-TAT-00012,TATOEBA,tatoeba_direct_links,hin_Deva,sat_Olck,कृपा कर के मेरी एक फोटो खींच दिजिए ना।,ᱫᱟᱭᱟ ᱠᱟᱛᱮ ᱤᱧᱭᱟᱹ ᱯᱦᱚᱴᱚ ᱠᱷᱤᱪᱟᱹᱣ ᱛᱤᱝ ᱢᱮ ᱥᱮ᱾,hin:10290413|sat:10290410,CC-BY-2.0-FR,VALID,PIPELINE_VERIFIED,Tatoeba provable link (tatoeba_direct_links)
TT-V2-TAT-00013,TATOEBA,tatoeba_direct_links,hin_Deva,sat_Olck,मैं घर पर नहीं हूं।,ᱤᱧ ᱚᱲᱟᱜ ᱨᱮ ᱵᱟᱹᱱᱩᱭᱼᱟ᱾,hin:10290416|sat:10290414,CC-BY-2.0-FR,VALID,PIPELINE_VERIFIED,Tatoeba provable link (tatoeba_direct_links)
TT-V2-TAT-00014,TATOEBA,tatoeba_direct_links,hin_Deva,sat_Olck,भाईसाहब नमस्ते।,ᱡᱚᱦᱟᱨ ᱜᱮ ᱜᱚᱢᱠᱮ᱾,hin:10290419|sat:10290418,CC-BY-2.0-FR,VALID,PIPELINE_VERIFIED,Tatoeba provable link (tatoeba_direct_links)
TT-V2-TAT-00015,TATOEBA,tatoeba_direct_links,hin_Deva,sat_Olck,बैंक में खाता कैसे खोला जाता है?,ᱵᱮᱱᱠ ᱨᱮ ᱠᱷᱟᱛᱟ ᱪᱮᱫ ᱞᱮᱠᱟ ᱠᱚ ᱠᱷᱩᱠᱟᱹᱣ ᱛᱟᱦᱮᱱ ᱼᱟ?,hin:10290423|sat:10290420,CC-BY-2.0-FR,VALID,PIPELINE_VERIFIED,Tatoeba provable link (tatoeba_direct_links)
TT-V2-TAT-00016,TATOEBA,tatoeba_direct_links,hin_Deva,sat_Olck,रोजगार पाने के लिए मैं क्या करूं।,ᱠᱟ.ᱢᱤ ᱧᱟᱢ ᱞᱟᱹᱜᱤᱫ ᱛᱮ ᱤᱧ ᱪᱮᱫ ᱪᱮᱫᱟ ᱦᱩᱭᱩᱜ ᱛᱤᱭᱟᱹ?,hin:10290426|sat:10290425,CC-BY-2.0-FR,VALID,PIPELINE_VERIFIED,Tatoeba provable link (tatoeba_direct_links)
TT-V2-TAT-00017,TATOEBA,tatoeba_direct_links,hin_Deva,sat_Olck,क्या तुम इस जगह पर गये हों कि नहीं?,ᱱᱚᱣᱟ ᱡᱟᱭᱜᱟ ᱨᱮ ᱟᱢ ᱪᱟᱞᱟᱣ ᱠᱟᱱᱟᱢ ᱥᱮ ᱵᱟᱝ?,hin:10290430|sat:10290428,CC-BY-2.0-FR,VALID,PIPELINE_VERIFIED,Tatoeba provable link (tatoeba_direct_links)
TT-V2-TAT-00018,TATOEBA,tatoeba_direct_links,hin_Deva,sat_Olck,मेरे पैर दर्द कर रहें हैं।,ᱤᱧᱭᱟᱹ ᱡᱟᱸᱜᱟ ᱠᱚ ᱦᱟᱥᱩ ᱠᱟᱱᱟ᱾,hin:10290434|sat:10290431,CC-BY-2.0-FR,VALID,PIPELINE_VERIFIED,Tatoeba provable link (tatoeba_direct_links)
TT-V2-TAT-00019,TATOEBA,tatoeba_direct_links,hin_Deva,sat_Olck,मेरे पैरों में दर्द हैं।,ᱤᱧᱭᱟᱹ ᱡᱟᱸᱜᱟ ᱨᱮ ᱦᱟᱥᱩ ᱢᱮᱱᱟᱜᱼᱟ᱾,hin:10290439|sat:10290436,CC-BY-2.0-FR,VALID,PIPELINE_VERIFIED,Tatoeba provable link (tatoeba_direct_links)
TT-V2-TAT-00020,TATOEBA,tatoeba_direct_links,hin_Deva,sat_Olck,यें फुल बहुत ही सुंदर हैं।,ᱱᱚᱣᱟ ᱵᱟᱦᱟ ᱠᱚ ᱟᱹᱰᱤ ᱢᱚᱡᱽ ᱜᱮᱭᱟ᱾,hin:10290441|sat:10290437,CC-BY-2.0-FR,VALID,PIPELINE_VERIFIED,Tatoeba provable link (tatoeba_direct_links)
